singers,genres,total_play,title
Troye Sivan,Pop,1323,Too Good
Troye Sivan,Pop,1493,Suburbia
Troye Sivan,Pop,1693,Lost Boy
"Troye Sivan,Allday",Pop,1870,For Him
DJ,Âu Mỹ khác,623435,Nonstop Xuống Địa Ngục
Thanh Đoan,Tui Hát,10,Biển Và Em Cover
Long Nguyễn,Tui Hát,54,Dẫu Anh Không Nhìn Thấy Cover
TNH,Tui Hát,20,Muốn Khóc Thật To Cover
"Noo Phước Thịnh,Thủy Tiên",Nhạc Trẻ,56186,Yêu Làm Chi
Noo Phước Thịnh,Nhạc Trẻ,297819,Hạnh Phúc Thoáng Qua
Tomandandy,Không Lời,109,Suburbia
Noo Phước Thịnh,Nhạc Trẻ,21440,Too Late 
Touliver,Thể Loại Khác,9403,Your game
"Mạnh Quỳnh,Phi Nhung",Thể Loại Khác,143690,Hai đứa giận nhau
V.A,Trữ Tình,6175,Tây Ninh Quê Tôi
"Thế Vỹ,Thu Giang,V.A",Trữ Tình,2514,Ngàn Hoa Dâng Bác
V.A,Trữ Tình,4167,Phụng Hoàng - Hàn Mặc Tử
Go One,Nhạc Trẻ,269,Nguyện Ước Con Dành Cho Mẹ
Go One,Nhạc Trẻ,521,Nhớ Mong
Go One,Nhạc Trẻ,936,Như Anh Từng Mơ
Go One,Nhạc Trẻ,931,Xuân Về Nơi Nơi
Go One,Nhạc Trẻ,255,Nhớ Ơn Mẹ
Go One,Nhạc Trẻ,380,Con Sẽ Không Quên
Go One,Nhạc Trẻ,249,Dành Cho Con
Go One,Nhạc Trẻ,289,Con Yêu
Thái Phi Long,Nhạc Trẻ,358,Thiên Đường Tình Yêu
Trương Tâm Nhi,Nhạc Trẻ,148173,Phía Sau Anh
"LyLy Trần,Trương Tâm Nhi",Nhạc Trẻ,461924,Hạnh Phúc Đi Anh
Trương Tâm Nhi,Nhạc Trẻ,524,Lời Yêu Thương
DJ,Nhạc Trẻ,877887,LK Nhạc Việt (Remix)
"Đan Nguyên,Hà Thanh Xuân",Trữ Tình,387560,Tiễn Một Người Đi
Đan Nguyên,Trữ Tình,400516,"LK Thành Phố Buồn, Giọt Lệ Sầu"
Đan Nguyên,Trữ Tình,340125,Túy Ca
Wanbi Tuấn Anh,Nhạc Trẻ,315732,Bắt Sóng Cảm Xúc
Đan Nguyên,Trữ Tình,828773,Tình chết theo mùa đông  (Lam Phương)
Đan Nguyên,Trữ Tình,280093,Đêm Lang Thang (Vinh Sử)
Đan Nguyên,Trữ Tình,297876,Lầm (Lam Phương)
Đan Nguyên,Trữ Tình,849516,Lời Đắng Cho Cuộc Tình
Đan Nguyên,Trữ Tình,502403,Nếu một ngày
Đan Nguyên,Trữ Tình,356501,Thói đời
Đan Nguyên,Trữ Tình,359605,Lời Cuối Cho Người Tình Phụ
Đan Nguyên,Trữ Tình,462345,Hãy Quên Anh
Đan Nguyên,Trữ Tình,803599,Tình Như Mây Khói (Lam Phương)
Đan Nguyên,Trữ Tình,866234,Hoa Sứ Nhà Nàng (Hoàng Phương)
Đan Nguyên,Trữ Tình,330948,Gặp Nhau Làm Chi
Đan Nguyên,Trữ Tình,360044,LK Ngày Vui Qua Mau
Đan Nguyên,Trữ Tình,364431,Căn nhà màu tím (Hoài Linh)
Đan Nguyên,Trữ Tình,892063,Xin Làm Người Tình Cô Đơn
Đan Nguyên,Trữ Tình,545107,Chuyện Tình Không Dĩ Vãng
Đan Nguyên,Trữ Tình,582253,Xót Xa
Đan Nguyên,Trữ Tình,551793,Về đâu mái tóc người thương (Hoài Linh)
Đan Nguyên,Trữ Tình,396697,Tình Kỷ Nữ (Trịnh Lâm Ngân)
Đan Nguyên,Trữ Tình,505700,Đôi mắt người xưa (Trúc Phương)
Đan Nguyên,Trữ Tình,693374,Chuyện Tình Mộng Thường
Đan Nguyên,Trữ Tình,645729,Tội Tình
Đan Nguyên,Trữ Tình,676675,Hai lối mộng (Trúc Phương)
Đan Nguyên,Trữ Tình,584739,Tôi Vẫn Không Quên
Đan Nguyên,Trữ Tình,1142910,Buồn trong kỷ niệm (Trúc Phương)
Đan Nguyên,Trữ Tình,1102639,Lời Cuối Cho Người Tình Phụ
Đan Nguyên,Trữ Tình,2743026,Người Yêu Cô Đơn
Đan Nguyên,Trữ Tình,1324987,Đêm Lang Thang
Đan Nguyên,Trữ Tình,911329,Tôi Vẫn Không Quên
Tui Hát,Tui Hát,909267,LK Thất Tình
"Băng Tâm,Đan Nguyên",Trữ Tình,2545232,Nếu Chúng Mình Cách Trở
"Trịnh Thăng Bình,Phạm Hoàng Duy",Nhạc Trẻ,595699,Noel Cô Đơn
Phạm Hoàng Duy,Nhạc Trẻ,61199,Gục Ngã
"Phạm Hoàng Duy,Lương Hải Vinh",Nhạc Trẻ,413179,Chẳng Như Anh Từng Nghĩ
Thái Phi Long,Nhạc Trẻ,296,Si Tình Tỉnh Giấc
Thái Phi Long,Nhạc Trẻ,262,Khoảng Trống
Thái Phi Long,Không Lời,202,Hương Tình Buồn Beat
Thái Phi Long,Nhạc Trẻ,210,Hương Tình Buồn
Thái Phi Long,Không Lời,156,Thiên Đường Tình Yêu Beat
"Trương Tâm Nhi,DJ Phơ Nguyễn",Nhạc Trẻ,656,Người Ấy Yêu Em Remix
"Trương Tâm Nhi,DJ Phơ Nguyễn",Nhạc Trẻ,425,Niềm Đau Remix
"Trương Tâm Nhi,DJ Phơ Nguyễn",Nhạc Trẻ,577,Phía Sau Anh Remix
