singers,genres,total_play,title
EXO,"Hàn Quốc,Pop / Ballad",42057,Sing For You
Ben Howard,"Âu Mỹ,Nhạc Phim",1186,Promise
Girls' Generation-TTS,"Hàn Quốc,Pop / Ballad",9759,Dear Santa
B1A4,"Hàn Quốc,Pop / Ballad",337,It's Christmas Time
The Head And The Heart,"Âu Mỹ,Rock",273,Winter Song
Đại Nhân,"Việt Nam,Nhạc Trẻ",295594,Muộn
Huy Nam (A#),"Việt Nam,Nhạc Trẻ",25898,Chuyện Đã Qua
Vanessa Williams,"Pop,Âu Mỹ",978,"Baby, It's Cold Outside"
Michael Bublé,"Âu Mỹ,Pop",3310,Holly Jolly Christmas
Leona Lewis,"Âu Mỹ,Pop",10654,One More Sleep
Boney M,"Âu Mỹ,Pop,Electronic / Dance",12687,White Christmas
Phạm Hồng Phước,"Việt Nam,Nhạc Trẻ",69767,Sau Giờ Về
"Huy Nam (A#),Hoàng Yến Chibi","Việt Nam,Nhạc Trẻ",47689,Ta Nói Nó Dzui
Brantley Gilbert,"Âu Mỹ,Country",37,One Hell Of An Amen
"Dương Trần Nghĩa,LK","Việt Nam,Nhạc Trẻ,Rap Việt",52105,Về
Tyler Farr,"Âu Mỹ,Country",16,A Guy Walks Into A Bar
Nguyệt Hằng,"Việt Nam,Nhạc Thiếu Nhi",44070,Em Yêu Biển Lắm
Tokyo Square,Âu Mỹ,29440,Say You Will
Michael Ray,"Âu Mỹ,Country",69,Kiss You In The Morning
Nhiều nghệ sĩ,"Việt Nam,Nhạc Thiếu Nhi",146551,Liên Khúc: Lớp Chúng Mình Rất Vui - Em Yêu...
Đoan Trang,"Nhạc Trữ Tình,Việt Nam",5543,Nguyệt Ca
Bé Bảo An,"Việt Nam,Nhạc Trẻ",43383,Mình Soi Gương
Hồ Quỳnh Hương,"Việt Nam,Nhạc Trẻ",813427,Hối Hận Muộn Màng
Thu Thủy,"Việt Nam,Nhạc Thiếu Nhi",97806,Vườn Cây Của Ba
Hồ Quỳnh Hương,"Nhạc Trẻ,Việt Nam",1146418,Nuối Tiếc
Hồ Quỳnh Hương,"Nhạc Trẻ,Việt Nam",506427,Và Như Thế Ta Đã Yêu Nhau
