singers,genres,total_play,title
Iron & Wine,"Âu Mỹ,Indie",121,Winter Prayers
Alabama,"Âu Mỹ,Country",613,Come Find Me
Ben Howard,"Âu Mỹ,Nhạc Phim",1090,Promise
Miranda Lambert,"Country,Âu Mỹ",42530,The House That Built Me
"Zara Larsson,MNEK","Âu Mỹ,Electronic / Dance",2896,Never Forget You
One Direction,"Âu Mỹ,Pop",1757054,Live While We're Young
Bích Phương,"Việt Nam,Nhạc Trẻ",6169801,Rằng Em Mãi Ở Bên
Tiên Tiên,"Việt Nam,Nhạc Trẻ",21914767,Vì Tôi Còn Sống
"Jessie J,Ariana Grande","Âu Mỹ,Pop",632534,Bang Bang
"Fun.,Janelle Monáe","Âu Mỹ,Pop",5438150,We Are Young
Minh Vương M4U,"Việt Nam,Nhạc Trẻ",33381632,Mảnh Ghép Đã Vỡ
The Head And The Heart,"Âu Mỹ,Rock",134,Winter Song
Lonestar,"Âu Mỹ,Country",651,Come Crying To Me
Alan Jackson,"Âu Mỹ,Country",610379,Remember When
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",695824,Bởi Vì Em Vội Vàng
"Hà Anh Tuấn,Phương Linh","Nhạc Trẻ,Việt Nam",1942495,Tuyết Rơi Mùa Hè
Lê Cát Trọng Lý,"Việt Nam,Nhạc Trẻ",2202662,Thương
American Authors,"Âu Mỹ,Country",77100,Best Day Of My Life
Lady Antebellum,"Âu Mỹ,Country,Pop",265622,Need You Now
Tove Lo,"Âu Mỹ,Pop,Indie,Alternative",166939,Talking Body
Kelvin Khánh,"Việt Nam,Nhạc Trẻ",11030,Anh Không Muốn Ra Đi
Kelvin Khánh,"Việt Nam,Nhạc Trẻ",19472,Em Từng Nói
Bobby Shmurda,"Âu Mỹ,Rap / Hip Hop",34833,Hot Boy
Maroon 5,"Âu Mỹ,Pop",343351,Maps
Trey Songz,"Âu Mỹ,Rap / Hip Hop",14277,Na Na
"Clean Bandit,Jess Glynne","Âu Mỹ,Pop",12594,Rather Be
Sam Hunt,"Âu Mỹ,Country,Pop",2537,Leave The Night On
Pharrell Williams,"Âu Mỹ,Pop",20445,Happy
"Chris Brown,Usher","Âu Mỹ,Rap / Hip Hop",14214,New Flame
Orange Caramel,"Hàn Quốc,Electronic / Dance",62962,Catallena
"Hyorin,Joo Young","Hàn Quốc,Pop / Ballad",44660,Erase
B1A4,"Hàn Quốc,Pop / Ballad",36790,Lonely
GOT7,"Hàn Quốc,Electronic / Dance",99488,Stop Stop It
MC the Max,"Hàn Quốc,Pop / Ballad",17230,Wind That Blows
"Gary,Jung In","Hàn Quốc,Rap / Hip Hop",104796,Your Scent
Nell,"Hàn Quốc,Rock",2760,The Earth Revolves Around The Sun
Apink,"Hàn Quốc,Pop / Ballad",431785,LUV
Boyfriend,"Hàn Quốc,Electronic / Dance",10349,Witch
Akdong Musician,"Hàn Quốc,Pop / Ballad",27322,Time And Fallen Leaves
Nicole,"Hàn Quốc,Electronic / Dance",8037,MAMA
VIXX,"Hàn Quốc,Electronic / Dance",53211,Error
Shin Jihoon,"Hàn Quốc,Pop / Ballad",2780,Crybaby
Super Junior,"Hàn Quốc,Electronic / Dance",7395,Evanesce
AOA,"Hàn Quốc,Electronic / Dance",287363,Like A Cat
Roy Kim,"Hàn Quốc,Pop / Ballad",7692,Home
MC Mong,"Hàn Quốc,Rap / Hip Hop",421261,Miss Me Or Diss Me
Nhiều nghệ sĩ,"Hàn Quốc,Rap / Hip Hop",35326,Born Hater
Lê Cát Trọng Lý,"Việt Nam,Nhạc Trẻ",511888,Chưa Ai
IU,"Hàn Quốc,Pop / Ballad",36627,SOGYEOKDONG
Lê Cát Trọng Lý,"Việt Nam,Nhạc Trẻ",1271865,Cơn Bão Nghiêng Đêm
Group S,"Hàn Quốc,Pop / Ballad",1732,Without You
Lovelyz,"Hàn Quốc,Pop / Ballad",8995,Good Night Like Yesterday
TEEN TOP,"Hàn Quốc,Electronic / Dance",33128,Missing
Bernard Park,"Hàn Quốc,Pop / Ballad",1243,Before The Rain
Ladies’ Code,"Hàn Quốc,Electronic / Dance",2412,Kiss Kiss
Lê Cát Trọng Lý,"Việt Nam,Nhạc Trẻ",776360,Lúng Ta Lúng Túng
"BTS (Bangtan Boys),Thanh Bùi","Hàn Quốc,Electronic / Dance",67826,Danger (Mo-Blue-Mix)
Winner,"Hàn Quốc,Electronic / Dance",9576,Different
"Park Bo Ram,Zico","Hàn Quốc,Electronic / Dance",115939,Beautiful
"MC Mong,Lyn","Hàn Quốc,Rap / Hip Hop",26714,Let's Run Away
HA:TFELT (Ye Eun),"Hàn Quốc,R&B",5686,Ain't Nobody
Kyu Hyun,"Hàn Quốc,Pop / Ballad",5037,At Close
Block B,"Hàn Quốc,Electronic / Dance",973,Hold Me Now
Block B,"Hàn Quốc,Electronic / Dance",48225,Her
2PM,"Hàn Quốc,Electronic / Dance",49584,Go Crazy
Lê Cát Trọng Lý,"Việt Nam,Nhạc Trẻ",106157,Ghen
Lê Cát Trọng Lý,"Việt Nam,Nhạc Trẻ",1179244,Trời Ơi
Lê Cát Trọng Lý,"Việt Nam,Nhạc Trẻ",1288137,Là Con Gái Thật Tuyệt
Lê Cát Trọng Lý,"Việt Nam,Nhạc Trẻ",3623338,Chênh Vênh
Super Junior,"Hàn Quốc,Electronic / Dance",142269,Mamacita
Winner,"Hàn Quốc,Electronic / Dance",19003,Don’t Flirt
T-ARA,"Hàn Quốc,Electronic / Dance",576191,Sugar Free
Red Velvet,"Hàn Quốc,Electronic / Dance",176152,Happiness
Beige,"Hàn Quốc,Pop / Ballad,Nhạc Phim",1763,Be Opposite
"Toy,Sung Si-kyoung","Hàn Quốc,Pop / Ballad",4557,Three People
REX.D,"Hàn Quốc,Rap / Hip Hop",1175,Ordinary Love
"MC Mong,Huh Gak","Hàn Quốc,Rap / Hip Hop",90080,The Happiest Time Of My Life
Sunny Hill,"Hàn Quốc,Pop / Ballad",2243,Once In Summer
B1A4,"Hàn Quốc,Electronic / Dance",18938,Solo Day
VIXX,"Hàn Quốc,Pop / Ballad,Electronic / Dance",13533,Eternity
Lê Cát Trọng Lý,"Việt Nam,Nhạc Trẻ",1310247,Mùa Yêu
AOA,"Hàn Quốc,Electronic / Dance",63803,Miniskirt
Infinite,"Hàn Quốc,Pop / Ballad",41286,Last Romeo
MBLAQ,"Hàn Quốc,Pop / Ballad",15682,Our Relationship
Aliee,"Hàn Quốc,Pop / Ballad,Nhạc Phim",2325,Day By Day
Akdong Musician,"Hàn Quốc,Pop / Ballad",60993,Melted
GOT7,"Hàn Quốc,Electronic / Dance",35880,Girls Girls Girls
Taeyeon,"Hàn Quốc,Pop / Ballad,Nhạc Phim",50211,"Love, The Only Word"
Ali,"Hàn Quốc,Pop / Ballad,Nhạc Phim",24803,The Vow
Akdong Musician,"Hàn Quốc,Pop / Ballad",285435,200%
T (Yoon Mi Rae),"Hàn Quốc,Pop / Ballad,Nhạc Phim",3223,I Love You
Lasse Lindh,"Hàn Quốc,Pop / Ballad,Nhạc Phim",124738,Run To You
Park Hyo Shin,"Hàn Quốc,Pop / Ballad",56526,Wild Flower
Girls' Generation-TTS,"Hàn Quốc,Electronic / Dance",82813,Holler
Epik High,"Hàn Quốc,Rap / Hip Hop",148287,Happen Ending
TEEN TOP,"Âu Mỹ,Pop",20261,I’m Sorry
"Hi Suhyun,Bobby","Hàn Quốc,R&B",166717,I’m Different
