singers,genres,total_play,title
Sơn Tùng (M-TP),Nhạc Trẻ,999131,Remember Me
Sarah Mclachlan,Pop,313,Silent Night
Carly Rae Jepsen,Pop,185073,La Hallucinations
DJ,Âu Mỹ khác,623960,Nonstop Xuống Địa Ngục
Đông Nhi,Nhạc Trẻ,1211311,Bad Boy
"Vũ Thảo My,Kimmese",Nhạc Trẻ,238929,Buông
"Ưng Đại Vệ,LiL Knight",Nhạc Trẻ,2488617,Vẫn Mãi Trong Tim
Bích Phương,Nhạc Trẻ,3700119,Sâu Trong Em
Trung Quân Idol,Nhạc Trẻ,5596248,Chưa Bao Giờ
Isaac (365),Nhạc Trẻ,287978,Mr.Right - Khi Anh Yêu Em
"Tóc Tiên,Touliver,Long Halo",Nhạc Trẻ,625059,Em Đẹp Nhất Đêm Nay Remix
"Isaac (365),OnlyC,DJ Gin",Nhạc Trẻ,615059,"Nơi Anh Không Thuộc Về, Hai Cô Tiên"
"Bảo Anh,Addy Trần,DJ Melo",Nhạc Trẻ,547535,Bóng Mây Qua Thềm
Phạm Quỳnh Anh,Nhạc Trẻ,227030, Nơi Đâu Bán Phép Màu
Jason Mraz,Pop,934205,I'm Yours
"P!nk,Nate Ruess",Pop,139021,Just Give Me A Reason
Westlife,Âu Mỹ khác,1666017,Nothing's Gonna Change My Love For You
Naughty Boy,Pop,828052,La La La
Super Stars,Pop,1092039,Cry On My Shoulder
Michael Learns To Rock,Âu Mỹ khác,43777,Take me to your heart
Westlife,Pop,1479293,My Love
Bee Gees,Âu Mỹ khác,214981,How Deep Is Your Love
Lady Gaga,Pop,63125,You And I
Miley Cyrus,Âu Mỹ khác,862799,Wrecking Ball
Dia Frampton,Âu Mỹ khác,39818,Good Boy 
Katy Perry,Pop,234264,Unconditionally
Selena Gomez,Âu Mỹ khác,437114,Love You Like A Love Song
Adele,Pop,1586427,Rolling in the Deep
Lyna Thùy Linh,Nhạc Trẻ,1422035,Yêu Quá Lâu
Lyna Thùy Linh,Nhạc Trẻ,1083307,Em Khóc Vì Anh
Lyna Thùy Linh,Trữ Tình,602727,Mẹ Hiền Của Con
Lyna Thùy Linh,Không Lời,2549,Em Khóc Vì Anh Beat
Lyna Thùy Linh,Nhạc Trẻ,148981,Giữ Giùm Em Trái Tim
Lyna Thùy Linh,Không Lời,2469,Giữ Giùm Em Trái Tim Beat
Trương Tâm Nhi,Nhạc Trẻ,535,Lời Yêu Thương
"LyLy Trần,Trương Tâm Nhi",Nhạc Trẻ,462147,Hạnh Phúc Đi Anh
Trương Tâm Nhi,Nhạc Trẻ,148187,Phía Sau Anh
Lyna Thùy Linh,Không Lời,3493,Điều Tốt Nhất Là Chia Tay Beat
Lyna Thùy Linh,Nhạc Trẻ,7766,Em Khóc Vì Anh
Lyna Thùy Linh,Không Lời,2767,Chỉ Một Người Hiểu Beat
Lyna Thùy Linh,Không Lời,3958,Em Thật May Mắn Beat
Lyna Thùy Linh,Nhạc Trẻ,13009,Em Thật May Mắn
"Lyna Thùy Linh,Gia Ly",Nhạc Trẻ,19196,Điều Tốt Nhất Là Chia Tay
Lyna Thùy Linh,Nhạc Trẻ,9996,Chỉ Một Người Hiểu
Thái Phi Long,Nhạc Trẻ,371,Thiên Đường Tình Yêu
"Trương Tâm Nhi,DJ Phơ Nguyễn",Nhạc Trẻ,675,Người Ấy Yêu Em Remix
Thái Phi Long,Nhạc Trẻ,278,Khoảng Trống
Thái Phi Long,Nhạc Trẻ,318,Góc Phố Xưa
Thái Phi Long,Nhạc Trẻ,308,Si Tình Tỉnh Giấc
"Trương Tâm Nhi,DJ Phơ Nguyễn",Nhạc Trẻ,432,Niềm Đau Remix
Thái Phi Long,Nhạc Trẻ,215,Hương Tình Buồn
"Trương Tâm Nhi,DJ Phơ Nguyễn",Nhạc Trẻ,592,Phía Sau Anh Remix
Thái Phi Long,Không Lời,208,Hương Tình Buồn Beat
"Trương Tâm Nhi,DJ Phơ Nguyễn",Nhạc Trẻ,608,Hạnh Phúc Đi Anh Remix
Trương Tâm Nhi,Nhạc Trẻ,755,A.T.S.M. (Ảo Tưởng Sức Mạnh)
Thái Phi Long,Không Lời,163,Thiên Đường Tình Yêu Beat
"Trương Tâm Nhi,DJ Phơ Nguyễn",Nhạc Trẻ,53387,Người Tình Lạc Lối Remix
Go One,Nhạc Trẻ,525,Nhớ Mong
Go One,Nhạc Trẻ,938,Xuân Về Nơi Nơi
Go One,Nhạc Trẻ,940,Như Anh Từng Mơ
Go One,Nhạc Trẻ,261,Nhớ Ơn Mẹ
Go One,Nhạc Trẻ,259,Dành Cho Con
Go One,Nhạc Trẻ,298,Con Yêu
Go One,Nhạc Trẻ,273,Nguyện Ước Con Dành Cho Mẹ
Go One,Nhạc Trẻ,389,Con Sẽ Không Quên
Tuấn Hưng,Nhạc Trẻ,817355,Nắm Lấy Tay Anh Remix
